#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
9301,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785443749028,3677.452637, 410.740662, 1364.821655, 0.010044, 0.047043, 0.023215, 0.998573, 3677.452637, 410.740662, 1364.821655, 0.010044, 0.047043, 0.023215, 0.998573, 153.000000,
2,1785443749034,3677.296875, 410.984100, 1364.703979, 0.009587, 0.046172, 0.022688, 0.998630, 3677.296875, 410.984100, 1364.703979, 0.009587, 0.046172, 0.022688, 0.998630, 153.000000,
3,1785443749041,3677.228027, 411.191467, 1364.650879, 0.010498, 0.046990, 0.023145, 0.998572, 3677.228027, 411.191467, 1364.650879, 0.010498, 0.046990, 0.023145, 0.998572, 153.000000,
4,1785443749048,3677.136963, 411.334381, 1364.659546, 0.010084, 0.046405, 0.023381, 0.998598, 3677.136963, 411.334381, 1364.659546, 0.010084, 0.046405, 0.023381, 0.998598, 153.000000,
5,1785443749054,3677.155518, 411.347015, 1364.515015, 0.009588, 0.047040, 0.023391, 0.998573, 3677.155518, 411.347015, 1364.515015, 0.009588, 0.047040, 0.023391, 0.998573, 153.000000,
6,1785443749061,3677.045654, 411.452179, 1364.485352, 0.009557, 0.046669, 0.022881, 0.998603, 3677.045654, 411.452179, 1364.485352, 0.009557, 0.046669, 0.022881, 0.998603, 153.000000,
7,1785443749068,3676.963623, 411.584747, 1364.639648, 0.009629, 0.047157, 0.023477, 0.998565, 3676.963623, 411.584747, 1364.639648, 0.009629, 0.047157, 0.023477, 0.998565, 153.000000,
8,1785443749074,3676.878418, 411.755676, 1364.524658, 0.010111, 0.047062, 0.023625, 0.998561, 3676.878418, 411.755676, 1364.524658, 0.010111, 0.047062, 0.023625, 0.998561, 153.000000,
9,1785443749081,3676.732178, 411.895691, 1364.345581, 0.010797, 0.047521, 0.024153, 0.998520, 3676.732178, 411.895691, 1364.345581, 0.010797, 0.047521, 0.024153, 0.998520, 153.000000,
10,1785443749088,3676.694580, 411.902374, 1364.269531, 0.009214, 0.047685, 0.023344, 0.998547, 3676.694580, 411.902374, 1364.269531, 0.009214, 0.047685, 0.023344, 0.998547, 153.000000,
11,1785443749094,3676.620605, 412.064423, 1364.121826, 0.009929, 0.048245, 0.023775, 0.998503, 3676.620605, 412.064423, 1364.121826, 0.009929, 0.048245, 0.023775, 0.998503, 153.000000,
