#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
9301,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785443749028,3718.379639, -949.488342, 1308.049194, -0.004276, 0.038739, -0.007109, 0.999215, 3718.379639, -949.488342, 1308.049194, -0.004276, 0.038739, -0.007109, 0.999215, 148.000000,
2,1785443749034,3718.498047, -949.600708, 1308.106201, -0.005233, 0.038018, -0.007587, 0.999235, 3718.498047, -949.600708, 1308.106201, -0.005233, 0.038018, -0.007587, 0.999235, 148.000000,
3,1785443749041,3718.626709, -949.660889, 1308.246948, -0.005811, 0.038460, -0.007565, 0.999215, 3718.626709, -949.660889, 1308.246948, -0.005811, 0.038460, -0.007565, 0.999215, 148.000000,
4,1785443749048,3718.604004, -949.777161, 1308.179565, -0.006680, 0.036882, -0.008392, 0.999262, 3718.604004, -949.777161, 1308.179565, -0.006680, 0.036882, -0.008392, 0.999262, 148.000000,
5,1785443749054,3718.735840, -949.843140, 1308.366943, -0.004888, 0.037231, -0.007369, 0.999268, 3718.735840, -949.843140, 1308.366943, -0.004888, 0.037231, -0.007369, 0.999268, 148.000000,
6,1785443749061,3718.782471, -949.956116, 1308.439575, -0.006918, 0.037245, -0.006971, 0.999258, 3718.782471, -949.956116, 1308.439575, -0.006918, 0.037245, -0.006971, 0.999258, 148.000000,
7,1785443749068,3718.897217, -950.203430, 1308.578979, -0.007518, 0.037680, -0.007352, 0.999234, 3718.897217, -950.203430, 1308.578979, -0.007518, 0.037680, -0.007352, 0.999234, 148.000000,
8,1785443749074,3718.982910, -950.096619, 1308.607910, -0.006803, 0.037911, -0.007203, 0.999232, 3718.982910, -950.096619, 1308.607910, -0.006803, 0.037911, -0.007203, 0.999232, 148.000000,
9,1785443749081,3719.093018, -950.229980, 1308.643066, -0.006783, 0.037294, -0.007655, 0.999252, 3719.093018, -950.229980, 1308.643066, -0.006783, 0.037294, -0.007655, 0.999252, 148.000000,
10,1785443749088,3719.270996, -950.318787, 1308.664185, -0.006687, 0.036386, -0.008414, 0.999280, 3719.270996, -950.318787, 1308.664185, -0.006687, 0.036386, -0.008414, 0.999280, 148.000000,
11,1785443749094,3719.363037, -950.305725, 1308.585938, -0.005790, 0.036955, -0.008335, 0.999265, 3719.363037, -950.305725, 1308.585938, -0.005790, 0.036955, -0.008335, 0.999265, 148.000000,
12,1785443749101,3719.494873, -950.379761, 1308.540039, -0.006265, 0.037668, -0.007929, 0.999239, 3719.494873, -950.379761, 1308.540039, -0.006265, 0.037668, -0.007929, 0.999239, 148.000000,
13,1785443749108,3719.507812, -950.596863, 1308.555542, -0.007465, 0.036458, -0.008464, 0.999271, 3719.507812, -950.596863, 1308.555542, -0.007465, 0.036458, -0.008464, 0.999271, 148.000000,
14,1785443749114,3719.584473, -950.742004, 1308.604858, -0.008023, 0.035583, -0.007548, 0.999306, 3719.584473, -950.742004, 1308.604858, -0.008023, 0.035583, -0.007548, 0.999306, 148.000000,
15,1785443749121,3719.679199, -950.825256, 1308.432617, -0.007360, 0.034233, -0.007715, 0.999357, 3719.679199, -950.825256, 1308.432617, -0.007360, 0.034233, -0.007715, 0.999357, 148.000000,
16,1785443749128,3719.896484, -950.813660, 1308.405518, -0.006345, 0.034641, -0.007800, 0.999349, 3719.896484, -950.813660, 1308.405518, -0.006345, 0.034641, -0.007800, 0.999349, 148.000000,
