#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
6629,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785444573742,3704.231445, 462.481934, 1341.297119, -0.001645, 0.056611, 0.034672, 0.997793, 3704.231445, 462.481934, 1341.297119, -0.001645, 0.056611, 0.034672, 0.997793, 153.000000,
2,1785444573749,3704.295166, 462.337952, 1341.249023, -0.001816, 0.058185, 0.033873, 0.997729, 3704.295166, 462.337952, 1341.249023, -0.001816, 0.058185, 0.033873, 0.997729, 153.000000,
3,1785444573756,3704.392578, 462.374023, 1341.272583, -0.001509, 0.058012, 0.033813, 0.997742, 3704.392578, 462.374023, 1341.272583, -0.001509, 0.058012, 0.033813, 0.997742, 153.000000,
4,1785444573762,3704.365723, 462.292542, 1341.316284, -0.000879, 0.058672, 0.034174, 0.997692, 3704.365723, 462.292542, 1341.316284, -0.000879, 0.058672, 0.034174, 0.997692, 153.000000,
5,1785444573769,3704.436279, 462.255280, 1341.133545, -0.001319, 0.058986, 0.033976, 0.997680, 3704.436279, 462.255280, 1341.133545, -0.001319, 0.058986, 0.033976, 0.997680, 153.000000,
6,1785444573776,3704.487793, 462.206329, 1341.089478, -0.002325, 0.058535, 0.034392, 0.997690, 3704.487793, 462.206329, 1341.089478, -0.002325, 0.058535, 0.034392, 0.997690, 153.000000,
7,1785444573782,3704.425781, 462.124969, 1341.257446, -0.000998, 0.059190, 0.034270, 0.997658, 3704.425781, 462.124969, 1341.257446, -0.000998, 0.059190, 0.034270, 0.997658, 153.000000,
8,1785444573789,3704.431641, 462.112244, 1341.167480, -0.001136, 0.059151, 0.034539, 0.997651, 3704.431641, 462.112244, 1341.167480, -0.001136, 0.059151, 0.034539, 0.997651, 153.000000,
9,1785444573796,3704.408691, 461.980560, 1341.296387, 0.000603, 0.059412, 0.033666, 0.997666, 3704.408691, 461.980560, 1341.296387, 0.000603, 0.059412, 0.033666, 0.997666, 153.000000,
10,1785444573802,3704.469971, 462.085968, 1341.196777, -0.001179, 0.058931, 0.034055, 0.997680, 3704.469971, 462.085968, 1341.196777, -0.001179, 0.058931, 0.034055, 0.997680, 153.000000,
11,1785444573809,3704.471680, 462.054108, 1341.172852, -0.000220, 0.059993, 0.034238, 0.997611, 3704.471680, 462.054108, 1341.172852, -0.000220, 0.059993, 0.034238, 0.997611, 153.000000,
