#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
6629,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785444573742,3719.914795, -940.989990, 1306.894409, 0.011753, 0.036468, 0.000677, 0.999265, 3719.914795, -940.989990, 1306.894409, 0.011753, 0.036468, 0.000677, 0.999265, 148.000000,
2,1785444573749,3719.797119, -940.952454, 1307.024170, 0.011793, 0.036569, 0.000048, 0.999262, 3719.797119, -940.952454, 1307.024170, 0.011793, 0.036569, 0.000048, 0.999262, 148.000000,
3,1785444573756,3719.954102, -940.939148, 1307.141724, 0.011983, 0.037426, 0.000082, 0.999228, 3719.954102, -940.939148, 1307.141724, 0.011983, 0.037426, 0.000082, 0.999228, 148.000000,
4,1785444573762,3719.845703, -940.942505, 1307.182251, 0.011662, 0.037925, 0.000013, 0.999213, 3719.845703, -940.942505, 1307.182251, 0.011662, 0.037925, 0.000013, 0.999213, 148.000000,
5,1785444573769,3719.810059, -941.048706, 1307.265381, 0.010728, 0.038986, 0.000431, 0.999182, 3719.810059, -941.048706, 1307.265381, 0.010728, 0.038986, 0.000431, 0.999182, 148.000000,
6,1785444573776,3719.745361, -941.059265, 1307.368408, 0.010034, 0.037353, 0.000039, 0.999252, 3719.745361, -941.059265, 1307.368408, 0.010034, 0.037353, 0.000039, 0.999252, 148.000000,
7,1785444573782,3719.677979, -941.130615, 1307.551147, 0.009465, 0.038361, -0.000095, 0.999219, 3719.677979, -941.130615, 1307.551147, 0.009465, 0.038361, -0.000095, 0.999219, 148.000000,
8,1785444573789,3719.558838, -941.107605, 1307.463623, 0.009886, 0.037723, 0.000979, 0.999239, 3719.558838, -941.107605, 1307.463623, 0.009886, 0.037723, 0.000979, 0.999239, 148.000000,
9,1785444573796,3719.568359, -941.168396, 1307.666870, 0.009318, 0.038531, 0.000900, 0.999214, 3719.568359, -941.168396, 1307.666870, 0.009318, 0.038531, 0.000900, 0.999214, 148.000000,
10,1785444573802,3719.501221, -941.192749, 1307.747314, 0.010674, 0.039495, 0.001020, 0.999162, 3719.501221, -941.192749, 1307.747314, 0.010674, 0.039495, 0.001020, 0.999162, 148.000000,
