#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
9352,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785439873766,3725.158691, -934.957153, 1294.456421, 0.007335, 0.029809, 0.005211, 0.999515, 3725.158691, -934.957153, 1294.456421, 0.007335, 0.029809, 0.005211, 0.999515, 148.000000,
2,1785439873772,3725.077637, -935.059204, 1294.457275, 0.005999, 0.030766, 0.004569, 0.999498, 3725.077637, -935.059204, 1294.457275, 0.005999, 0.030766, 0.004569, 0.999498, 148.000000,
3,1785439873779,3724.972656, -935.074280, 1294.406006, 0.006513, 0.031208, 0.004914, 0.999480, 3724.972656, -935.074280, 1294.406006, 0.006513, 0.031208, 0.004914, 0.999480, 148.000000,
4,1785439873786,3724.827393, -934.982300, 1294.366577, 0.006783, 0.031329, 0.004983, 0.999474, 3724.827393, -934.982300, 1294.366577, 0.006783, 0.031329, 0.004983, 0.999474, 148.000000,
5,1785439873792,3724.791504, -935.103699, 1294.019653, 0.006428, 0.031407, 0.005084, 0.999473, 3724.791504, -935.103699, 1294.019653, 0.006428, 0.031407, 0.005084, 0.999473, 148.000000,
6,1785439873799,3724.586426, -935.089722, 1293.942261, 0.007733, 0.032566, 0.004977, 0.999427, 3724.586426, -935.089722, 1293.942261, 0.007733, 0.032566, 0.004977, 0.999427, 148.000000,
7,1785439873806,3724.599854, -935.050720, 1293.939819, 0.007747, 0.033196, 0.005359, 0.999404, 3724.599854, -935.050720, 1293.939819, 0.007747, 0.033196, 0.005359, 0.999404, 148.000000,
8,1785439873812,3724.566162, -935.001770, 1293.814575, 0.006847, 0.033007, 0.004873, 0.999420, 3724.566162, -935.001770, 1293.814575, 0.006847, 0.033007, 0.004873, 0.999420, 148.000000,
9,1785439873819,3724.482910, -935.124451, 1293.664307, 0.006309, 0.033592, 0.005279, 0.999402, 3724.482910, -935.124451, 1293.664307, 0.006309, 0.033592, 0.005279, 0.999402, 148.000000,
10,1785439873826,3724.357666, -935.041443, 1293.646118, 0.006314, 0.033272, 0.005357, 0.999412, 3724.357666, -935.041443, 1293.646118, 0.006314, 0.033272, 0.005357, 0.999412, 148.000000,
11,1785439873832,3724.297363, -935.007690, 1293.473022, 0.005718, 0.034106, 0.004862, 0.999390, 3724.297363, -935.007690, 1293.473022, 0.005718, 0.034106, 0.004862, 0.999390, 148.000000,
12,1785439873839,3724.166504, -934.968872, 1293.272949, 0.005732, 0.034183, 0.004627, 0.999388, 3724.166504, -934.968872, 1293.272949, 0.005732, 0.034183, 0.004627, 0.999388, 148.000000,
13,1785439873846,3724.095459, -934.910217, 1293.366089, 0.006116, 0.034934, 0.004290, 0.999362, 3724.095459, -934.910217, 1293.366089, 0.006116, 0.034934, 0.004290, 0.999362, 148.000000,
14,1785439873852,3724.015869, -934.998230, 1293.156982, 0.004934, 0.035115, 0.004771, 0.999360, 3724.015869, -934.998230, 1293.156982, 0.004934, 0.035115, 0.004771, 0.999360, 148.000000,
15,1785439873859,3723.914795, -935.005554, 1293.277100, 0.004473, 0.035450, 0.004548, 0.999351, 3723.914795, -935.005554, 1293.277100, 0.004473, 0.035450, 0.004548, 0.999351, 148.000000,
16,1785439873866,3723.842041, -934.986816, 1293.213257, 0.005733, 0.035080, 0.005661, 0.999352, 3723.842041, -934.986816, 1293.213257, 0.005733, 0.035080, 0.005661, 0.999352, 148.000000,
17,1785439873872,3723.738770, -935.105774, 1293.074219, 0.006363, 0.036282, 0.005460, 0.999306, 3723.738770, -935.105774, 1293.074219, 0.006363, 0.036282, 0.005460, 0.999306, 148.000000,
18,1785439873879,3723.640869, -935.010254, 1292.914551, 0.007093, 0.037304, 0.005120, 0.999266, 3723.640869, -935.010254, 1292.914551, 0.007093, 0.037304, 0.005120, 0.999266, 148.000000,
19,1785439873886,3723.522217, -934.967896, 1292.902710, 0.006125, 0.037199, 0.004597, 0.999279, 3723.522217, -934.967896, 1292.902710, 0.006125, 0.037199, 0.004597, 0.999279, 148.000000,
20,1785439873892,3723.590576, -934.937134, 1293.030640, 0.005833, 0.036499, 0.005169, 0.999303, 3723.590576, -934.937134, 1293.030640, 0.005833, 0.036499, 0.005169, 0.999303, 148.000000,
21,1785439873899,3723.526367, -934.865723, 1292.808228, 0.003993, 0.037803, 0.004867, 0.999265, 3723.526367, -934.865723, 1292.808228, 0.003993, 0.037803, 0.004867, 0.999265, 148.000000,
22,1785439873906,3723.564453, -934.863403, 1292.894043, 0.005191, 0.036218, 0.005208, 0.999317, 3723.564453, -934.863403, 1292.894043, 0.005191, 0.036218, 0.005208, 0.999317, 148.000000,
23,1785439873912,3723.504883, -934.893494, 1292.559937, 0.005718, 0.037779, 0.005309, 0.999256, 3723.504883, -934.893494, 1292.559937, 0.005718, 0.037779, 0.005309, 0.999256, 148.000000,
24,1785439873919,3723.387695, -934.879700, 1292.555054, 0.005810, 0.036822, 0.005251, 0.999291, 3723.387695, -934.879700, 1292.555054, 0.005810, 0.036822, 0.005251, 0.999291, 148.000000,
25,1785439873926,3723.295166, -934.858704, 1292.553589, 0.004962, 0.037247, 0.005517, 0.999279, 3723.295166, -934.858704, 1292.553589, 0.004962, 0.037247, 0.005517, 0.999279, 148.000000,
26,1785439873932,3723.252930, -934.844055, 1292.579956, 0.007367, 0.037292, 0.005208, 0.999264, 3723.252930, -934.844055, 1292.579956, 0.007367, 0.037292, 0.005208, 0.999264, 148.000000,
27,1785439873939,3723.326172, -934.854736, 1292.535034, 0.007024, 0.036776, 0.005488, 0.999284, 3723.326172, -934.854736, 1292.535034, 0.007024, 0.036776, 0.005488, 0.999284, 148.000000,
28,1785439873946,3723.463867, -934.864197, 1292.608765, 0.006728, 0.037365, 0.004569, 0.999269, 3723.463867, -934.864197, 1292.608765, 0.006728, 0.037365, 0.004569, 0.999269, 148.000000,
29,1785439873952,3723.443848, -934.799805, 1292.591675, 0.006979, 0.036375, 0.005342, 0.999300, 3723.443848, -934.799805, 1292.591675, 0.006979, 0.036375, 0.005342, 0.999300, 148.000000,
30,1785439873959,3723.298828, -934.774658, 1292.611450, 0.006800, 0.038716, 0.005525, 0.999212, 3723.298828, -934.774658, 1292.611450, 0.006800, 0.038716, 0.005525, 0.999212, 148.000000,
31,1785439873966,3723.266846, -934.762634, 1292.389526, 0.006360, 0.036731, 0.005083, 0.999292, 3723.266846, -934.762634, 1292.389526, 0.006360, 0.036731, 0.005083, 0.999292, 148.000000,
32,1785439873972,3723.246094, -934.656433, 1292.377808, 0.006880, 0.036258, 0.005619, 0.999303, 3723.246094, -934.656433, 1292.377808, 0.006880, 0.036258, 0.005619, 0.999303, 148.000000,
33,1785439873979,3723.279297, -934.738220, 1292.503784, 0.006632, 0.035720, 0.005356, 0.999325, 3723.279297, -934.738220, 1292.503784, 0.006632, 0.035720, 0.005356, 0.999325, 148.000000,
34,1785439873985,3723.380127, -934.696777, 1292.449219, 0.006332, 0.035379, 0.005326, 0.999340, 3723.380127, -934.696777, 1292.449219, 0.006332, 0.035379, 0.005326, 0.999340, 148.000000,
35,1785439873992,3723.465576, -934.660706, 1292.425903, 0.006140, 0.034475, 0.006032, 0.999368, 3723.465576, -934.660706, 1292.425903, 0.006140, 0.034475, 0.006032, 0.999368, 148.000000,
36,1785439873999,3723.494385, -934.610962, 1292.505127, 0.005943, 0.034537, 0.005612, 0.999370, 3723.494385, -934.610962, 1292.505127, 0.005943, 0.034537, 0.005612, 0.999370, 148.000000,
37,1785439874005,3723.455811, -934.508484, 1292.413818, 0.005971, 0.035228, 0.004620, 0.999351, 3723.455811, -934.508484, 1292.413818, 0.005971, 0.035228, 0.004620, 0.999351, 148.000000,
38,1785439874012,3723.422119, -934.420654, 1292.475952, 0.007343, 0.034282, 0.005119, 0.999372, 3723.422119, -934.420654, 1292.475952, 0.007343, 0.034282, 0.005119, 0.999372, 148.000000,
