#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
6956,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785439091076,3673.746338, 607.171143, 1337.145142, -0.013508, 0.046070, 0.014729, 0.998738, 3673.746338, 607.171143, 1337.145142, -0.013508, 0.046070, 0.014729, 0.998738, 135.000000,
2,1785439091083,3673.890625, 607.202332, 1337.111938, -0.013778, 0.044830, 0.014944, 0.998788, 3673.890625, 607.202332, 1337.111938, -0.013778, 0.044830, 0.014944, 0.998788, 135.000000,
3,1785439091089,3674.663086, 606.715637, 1336.793457, -0.012027, 0.046519, 0.017992, 0.998683, 3674.663086, 606.715637, 1336.793457, -0.012027, 0.046519, 0.017992, 0.998683, 135.000000,
4,1785439091096,3674.687988, 606.730408, 1336.768311, -0.012155, 0.046428, 0.017817, 0.998689, 3674.687988, 606.730408, 1336.768311, -0.012155, 0.046428, 0.017817, 0.998689, 135.000000,
5,1785439091102,3674.064453, 606.983948, 1336.956787, -0.015141, 0.045322, 0.014466, 0.998753, 3674.064453, 606.983948, 1336.956787, -0.015141, 0.045322, 0.014466, 0.998753, 135.000000,
6,1785439091109,3674.733643, 606.493347, 1336.871582, -0.011687, 0.047475, 0.017819, 0.998645, 3674.733643, 606.493347, 1336.871582, -0.011687, 0.047475, 0.017819, 0.998645, 135.000000,
7,1785439091116,3674.883301, 606.490112, 1336.969971, -0.011412, 0.047297, 0.017489, 0.998663, 3674.883301, 606.490112, 1336.969971, -0.011412, 0.047297, 0.017489, 0.998663, 135.000000,
8,1785439091122,3674.900635, 606.505188, 1337.002197, -0.010909, 0.047344, 0.018762, 0.998643, 3674.900635, 606.505188, 1337.002197, -0.010909, 0.047344, 0.018762, 0.998643, 135.000000,
9,1785439091129,3675.112305, 606.468201, 1337.094360, -0.010008, 0.047372, 0.018193, 0.998661, 3675.112305, 606.468201, 1337.094360, -0.010008, 0.047372, 0.018193, 0.998661, 135.000000,
10,1785439091136,3675.214600, 606.469910, 1337.002197, -0.010060, 0.046974, 0.017543, 0.998691, 3675.214600, 606.469910, 1337.002197, -0.010060, 0.046974, 0.017543, 0.998691, 135.000000,
