#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
6956,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785439091076,3714.238037, -934.544373, 1305.426147, 0.011030, 0.034735, 0.007040, 0.999311, 3714.238037, -934.544373, 1305.426147, 0.011030, 0.034735, 0.007040, 0.999311, 148.000000,
2,1785439091083,3714.123047, -934.313782, 1305.290649, 0.011501, 0.034816, 0.006756, 0.999305, 3714.123047, -934.313782, 1305.290649, 0.011501, 0.034816, 0.006756, 0.999305, 148.000000,
3,1785439091089,3713.970703, -934.191833, 1305.240601, 0.011755, 0.035608, 0.007011, 0.999272, 3713.970703, -934.191833, 1305.240601, 0.011755, 0.035608, 0.007011, 0.999272, 148.000000,
4,1785439091096,3713.918945, -934.068115, 1305.442017, 0.011895, 0.035221, 0.007016, 0.999284, 3713.918945, -934.068115, 1305.442017, 0.011895, 0.035221, 0.007016, 0.999284, 148.000000,
5,1785439091102,3713.891113, -933.990906, 1305.474731, 0.011724, 0.034376, 0.008283, 0.999306, 3713.891113, -933.990906, 1305.474731, 0.011724, 0.034376, 0.008283, 0.999306, 148.000000,
6,1785439091109,3713.745361, -933.818848, 1305.476929, 0.011912, 0.036105, 0.007452, 0.999249, 3713.745361, -933.818848, 1305.476929, 0.011912, 0.036105, 0.007452, 0.999249, 148.000000,
7,1785439091116,3713.787354, -933.748535, 1305.547607, 0.011292, 0.034701, 0.007544, 0.999305, 3713.787354, -933.748535, 1305.547607, 0.011292, 0.034701, 0.007544, 0.999305, 148.000000,
8,1785439091122,3713.712891, -933.497131, 1305.597290, 0.012351, 0.036058, 0.007460, 0.999246, 3713.712891, -933.497131, 1305.597290, 0.012351, 0.036058, 0.007460, 0.999246, 148.000000,
9,1785439091129,3713.497803, -933.466309, 1305.629883, 0.011383, 0.036262, 0.006484, 0.999256, 3713.497803, -933.466309, 1305.629883, 0.011383, 0.036262, 0.006484, 0.999256, 148.000000,
10,1785439091136,3713.643555, -933.243958, 1305.679932, 0.011207, 0.035940, 0.007126, 0.999266, 3713.643555, -933.243958, 1305.679932, 0.011207, 0.035940, 0.007126, 0.999266, 148.000000,
11,1785439091142,3713.468262, -933.050293, 1305.762085, 0.010405, 0.036579, 0.006865, 0.999253, 3713.468262, -933.050293, 1305.762085, 0.010405, 0.036579, 0.006865, 0.999253, 148.000000,
12,1785439091149,3713.393066, -933.016296, 1305.655762, 0.010379, 0.035006, 0.006293, 0.999313, 3713.393066, -933.016296, 1305.655762, 0.010379, 0.035006, 0.006293, 0.999313, 148.000000,
13,1785439091156,3713.291504, -932.921875, 1305.765503, 0.010457, 0.035063, 0.006843, 0.999307, 3713.291504, -932.921875, 1305.765503, 0.010457, 0.035063, 0.006843, 0.999307, 148.000000,
14,1785439091162,3713.220947, -932.750549, 1305.690674, 0.010994, 0.034567, 0.006517, 0.999321, 3713.220947, -932.750549, 1305.690674, 0.010994, 0.034567, 0.006517, 0.999321, 148.000000,
15,1785439091169,3713.193604, -932.646851, 1305.610962, 0.010773, 0.033721, 0.006585, 0.999352, 3713.193604, -932.646851, 1305.610962, 0.010773, 0.033721, 0.006585, 0.999352, 148.000000,
16,1785439091176,3713.205566, -932.571045, 1305.802734, 0.010934, 0.032877, 0.007180, 0.999374, 3713.205566, -932.571045, 1305.802734, 0.010934, 0.032877, 0.007180, 0.999374, 148.000000,
17,1785439091182,3713.190674, -932.390320, 1306.033691, 0.010128, 0.034703, 0.006612, 0.999324, 3713.190674, -932.390320, 1306.033691, 0.010128, 0.034703, 0.006612, 0.999324, 148.000000,
18,1785439091189,3713.231201, -932.210754, 1305.980957, 0.010403, 0.034727, 0.006046, 0.999324, 3713.231201, -932.210754, 1305.980957, 0.010403, 0.034727, 0.006046, 0.999324, 148.000000,
19,1785439091196,3713.141113, -932.156555, 1305.883301, 0.010248, 0.035065, 0.006639, 0.999310, 3713.141113, -932.156555, 1305.883301, 0.010248, 0.035065, 0.006639, 0.999310, 148.000000,
20,1785439091202,3713.147705, -931.990234, 1305.874878, 0.010730, 0.035375, 0.006220, 0.999297, 3713.147705, -931.990234, 1305.874878, 0.010730, 0.035375, 0.006220, 0.999297, 148.000000,
21,1785439091209,3713.048340, -931.971069, 1305.786987, 0.011006, 0.034741, 0.006740, 0.999313, 3713.048340, -931.971069, 1305.786987, 0.011006, 0.034741, 0.006740, 0.999313, 148.000000,
22,1785439091216,3713.007080, -931.824341, 1305.824829, 0.010689, 0.034637, 0.006187, 0.999324, 3713.007080, -931.824341, 1305.824829, 0.010689, 0.034637, 0.006187, 0.999324, 148.000000,
23,1785439091222,3713.038086, -931.889893, 1305.813477, 0.011076, 0.034489, 0.006231, 0.999324, 3713.038086, -931.889893, 1305.813477, 0.011076, 0.034489, 0.006231, 0.999324, 148.000000,
24,1785439091229,3713.014893, -931.773071, 1306.010376, 0.010539, 0.034670, 0.005587, 0.999328, 3713.014893, -931.773071, 1306.010376, 0.010539, 0.034670, 0.005587, 0.999328, 148.000000,
25,1785439091236,3713.041016, -931.749329, 1305.922363, 0.010014, 0.032819, 0.005497, 0.999396, 3713.041016, -931.749329, 1305.922363, 0.010014, 0.032819, 0.005497, 0.999396, 148.000000,
26,1785439091242,3712.532227, -931.547729, 1306.350708, 0.010000, 0.029018, 0.009194, 0.999487, 3712.532227, -931.547729, 1306.350708, 0.010000, 0.029018, 0.009194, 0.999487, 148.000000,
27,1785439091249,3712.966309, -931.549866, 1306.038208, 0.010422, 0.031483, 0.006591, 0.999428, 3712.966309, -931.549866, 1306.038208, 0.010422, 0.031483, 0.006591, 0.999428, 148.000000,
28,1785439091256,3712.952148, -931.436157, 1306.037354, 0.010030, 0.032386, 0.006005, 0.999407, 3712.952148, -931.436157, 1306.037354, 0.010030, 0.032386, 0.006005, 0.999407, 148.000000,
29,1785439091262,3712.926758, -931.395569, 1305.998657, 0.010718, 0.031596, 0.006149, 0.999424, 3712.926758, -931.395569, 1305.998657, 0.010718, 0.031596, 0.006149, 0.999424, 148.000000,
30,1785439091269,3712.555420, -931.328308, 1306.283203, 0.011216, 0.027849, 0.009186, 0.999507, 3712.555420, -931.328308, 1306.283203, 0.011216, 0.027849, 0.009186, 0.999507, 148.000000,
31,1785439091276,3712.610352, -931.235229, 1306.431152, 0.011922, 0.027596, 0.009328, 0.999505, 3712.610352, -931.235229, 1306.431152, 0.011922, 0.027596, 0.009328, 0.999505, 148.000000,
32,1785439091282,3712.529785, -931.271912, 1306.324463, 0.012350, 0.028039, 0.008937, 0.999491, 3712.529785, -931.271912, 1306.324463, 0.012350, 0.028039, 0.008937, 0.999491, 148.000000,
33,1785439091289,3712.628906, -931.161987, 1306.430664, 0.011374, 0.027577, 0.009240, 0.999512, 3712.628906, -931.161987, 1306.430664, 0.011374, 0.027577, 0.009240, 0.999512, 148.000000,
34,1785439091296,3712.614502, -931.103027, 1306.475952, 0.011111, 0.026972, 0.008904, 0.999535, 3712.614502, -931.103027, 1306.475952, 0.011111, 0.026972, 0.008904, 0.999535, 148.000000,
35,1785439091302,3712.622070, -931.133789, 1306.324585, 0.010516, 0.027617, 0.008395, 0.999528, 3712.622070, -931.133789, 1306.324585, 0.010516, 0.027617, 0.008395, 0.999528, 148.000000,
36,1785439091309,3713.065186, -931.196106, 1305.892212, 0.009871, 0.031401, 0.005676, 0.999442, 3713.065186, -931.196106, 1305.892212, 0.009871, 0.031401, 0.005676, 0.999442, 148.000000,
37,1785439091316,3712.700439, -930.919495, 1306.269287, 0.010314, 0.025348, 0.008893, 0.999586, 3712.700439, -930.919495, 1306.269287, 0.010314, 0.025348, 0.008893, 0.999586, 148.000000,
38,1785439091322,3712.601562, -930.948059, 1306.242188, 0.010432, 0.025596, 0.009058, 0.999577, 3712.601562, -930.948059, 1306.242188, 0.010432, 0.025596, 0.009058, 0.999577, 148.000000,
39,1785439091329,3712.665283, -930.944763, 1306.267822, 0.009896, 0.024741, 0.008540, 0.999608, 3712.665283, -930.944763, 1306.267822, 0.009896, 0.024741, 0.008540, 0.999608, 148.000000,
40,1785439091336,3712.652344, -930.903503, 1306.232666, 0.009892, 0.025551, 0.009341, 0.999581, 3712.652344, -930.903503, 1306.232666, 0.009892, 0.025551, 0.009341, 0.999581, 148.000000,
41,1785439091342,3712.655762, -930.863892, 1306.218140, 0.009695, 0.024530, 0.008971, 0.999612, 3712.655762, -930.863892, 1306.218140, 0.009695, 0.024530, 0.008971, 0.999612, 148.000000,
42,1785439091349,3712.757080, -930.839966, 1306.032104, 0.010001, 0.024441, 0.008950, 0.999611, 3712.757080, -930.839966, 1306.032104, 0.010001, 0.024441, 0.008950, 0.999611, 148.000000,
43,1785439091356,3712.825195, -930.806396, 1306.054810, 0.008818, 0.025028, 0.008368, 0.999613, 3712.825195, -930.806396, 1306.054810, 0.008818, 0.025028, 0.008368, 0.999613, 148.000000,
44,1785439091362,3712.922607, -930.770752, 1305.996460, 0.008068, 0.023459, 0.008347, 0.999657, 3712.922607, -930.770752, 1305.996460, 0.008068, 0.023459, 0.008347, 0.999657, 148.000000,
45,1785439091369,3712.937744, -930.692566, 1305.927856, 0.007805, 0.024799, 0.009016, 0.999621, 3712.937744, -930.692566, 1305.927856, 0.007805, 0.024799, 0.009016, 0.999621, 148.000000,
46,1785439091376,3712.895508, -930.760498, 1305.988281, 0.008144, 0.025484, 0.008058, 0.999610, 3712.895508, -930.760498, 1305.988281, 0.008144, 0.025484, 0.008058, 0.999610, 148.000000,
47,1785439091382,3712.855957, -930.759216, 1306.122314, 0.008821, 0.025403, 0.008188, 0.999605, 3712.855957, -930.759216, 1306.122314, 0.008821, 0.025403, 0.008188, 0.999605, 148.000000,
48,1785439091389,3712.842041, -930.759827, 1305.946411, 0.009548, 0.025572, 0.008324, 0.999593, 3712.842041, -930.759827, 1305.946411, 0.009548, 0.025572, 0.008324, 0.999593, 148.000000,
49,1785439091396,3712.922119, -930.659363, 1305.914307, 0.008593, 0.023968, 0.009049, 0.999635, 3712.922119, -930.659363, 1305.914307, 0.008593, 0.023968, 0.009049, 0.999635, 148.000000,
50,1785439091402,3712.855957, -930.806152, 1305.963867, 0.008008, 0.024063, 0.008336, 0.999644, 3712.855957, -930.806152, 1305.963867, 0.008008, 0.024063, 0.008336, 0.999644, 148.000000,
51,1785439091409,3713.048584, -930.709839, 1305.868774, 0.007988, 0.022501, 0.008361, 0.999680, 3713.048584, -930.709839, 1305.868774, 0.007988, 0.022501, 0.008361, 0.999680, 148.000000,
52,1785439091416,3713.012695, -930.639038, 1305.910156, 0.008009, 0.023030, 0.008416, 0.999667, 3713.012695, -930.639038, 1305.910156, 0.008009, 0.023030, 0.008416, 0.999667, 148.000000,
53,1785439091422,3712.981201, -930.656921, 1305.795410, 0.007656, 0.022777, 0.008431, 0.999676, 3712.981201, -930.656921, 1305.795410, 0.007656, 0.022777, 0.008431, 0.999676, 148.000000,
54,1785439091429,3713.085693, -930.536011, 1305.634277, 0.006823, 0.022319, 0.008556, 0.999691, 3713.085693, -930.536011, 1305.634277, 0.006823, 0.022319, 0.008556, 0.999691, 148.000000,
55,1785439091435,3713.056885, -930.661804, 1305.635132, 0.007996, 0.022636, 0.008536, 0.999675, 3713.056885, -930.661804, 1305.635132, 0.007996, 0.022636, 0.008536, 0.999675, 148.000000,
56,1785439091442,3713.177979, -930.617920, 1305.640625, 0.007672, 0.023385, 0.008617, 0.999660, 3713.177979, -930.617920, 1305.640625, 0.007672, 0.023385, 0.008617, 0.999660, 148.000000,
57,1785439091449,3713.078857, -930.607849, 1305.702148, 0.007565, 0.023325, 0.008866, 0.999660, 3713.078857, -930.607849, 1305.702148, 0.007565, 0.023325, 0.008866, 0.999660, 148.000000,
58,1785439091455,3713.568115, -930.804016, 1305.200317, 0.006395, 0.026969, 0.005389, 0.999601, 3713.568115, -930.804016, 1305.200317, 0.006395, 0.026969, 0.005389, 0.999601, 148.000000,
59,1785439091462,3713.601318, -930.704834, 1305.188721, 0.006585, 0.026026, 0.005224, 0.999626, 3713.601318, -930.704834, 1305.188721, 0.006585, 0.026026, 0.005224, 0.999626, 148.000000,
60,1785439091469,3713.277588, -930.581665, 1305.388794, 0.007445, 0.022414, 0.008231, 0.999687, 3713.277588, -930.581665, 1305.388794, 0.007445, 0.022414, 0.008231, 0.999687, 148.000000,
61,1785439091475,3713.237793, -930.563843, 1305.336304, 0.007602, 0.022094, 0.007604, 0.999698, 3713.237793, -930.563843, 1305.336304, 0.007602, 0.022094, 0.007604, 0.999698, 148.000000,
62,1785439091482,3713.234131, -930.517944, 1305.329346, 0.007793, 0.021492, 0.008590, 0.999702, 3713.234131, -930.517944, 1305.329346, 0.007793, 0.021492, 0.008590, 0.999702, 148.000000,
