#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
9472,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785437754110,3630.922363, 472.756775, 1251.492310, 0.039470, -0.025514, 0.681254, 0.730537, 3630.922363, 472.756775, 1251.492310, 0.039470, -0.025514, 0.681254, 0.730537, 101.000000,
2,1785437754117,3630.748291, 472.649170, 1251.683716, 0.046471, -0.028772, 0.681464, 0.729808, 3630.748291, 472.649170, 1251.683716, 0.046471, -0.028772, 0.681464, 0.729808, 101.000000,
3,1785437754123,3630.655273, 472.540924, 1251.781372, 0.052798, -0.029783, 0.681969, 0.728865, 3630.655273, 472.540924, 1251.781372, 0.052798, -0.029783, 0.681969, 0.728865, 101.000000,
4,1785437754130,3630.693115, 472.396454, 1252.044312, 0.054114, -0.025644, 0.681920, 0.728972, 3630.693115, 472.396454, 1252.044312, 0.054114, -0.025644, 0.681920, 0.728972, 101.000000,
5,1785437754137,3630.635010, 472.242981, 1252.020386, 0.058266, -0.025256, 0.681029, 0.729498, 3630.635010, 472.242981, 1252.020386, 0.058266, -0.025256, 0.681029, 0.729498, 101.000000,
6,1785437754143,3630.650146, 472.153595, 1252.130127, 0.049929, -0.024337, 0.681369, 0.729829, 3630.650146, 472.153595, 1252.130127, 0.049929, -0.024337, 0.681369, 0.729829, 101.000000,
7,1785437754150,3630.597168, 472.018707, 1252.025879, 0.054813, -0.031729, 0.681726, 0.728861, 3630.597168, 472.018707, 1252.025879, 0.054813, -0.031729, 0.681726, 0.728861, 101.000000,
8,1785437754157,3630.470215, 471.894531, 1252.161011, 0.060407, -0.026756, 0.681911, 0.728445, 3630.470215, 471.894531, 1252.161011, 0.060407, -0.026756, 0.681911, 0.728445, 101.000000,
9,1785437754163,3630.403320, 471.830963, 1252.389648, 0.057035, -0.020069, 0.681713, 0.729117, 3630.403320, 471.830963, 1252.389648, 0.057035, -0.020069, 0.681713, 0.729117, 101.000000,
10,1785437754170,3630.294922, 471.707001, 1252.479248, 0.054402, -0.026865, 0.682572, 0.728295, 3630.294922, 471.707001, 1252.479248, 0.054402, -0.026865, 0.682572, 0.728295, 101.000000,
11,1785437754177,3630.178955, 471.643280, 1252.684937, 0.057519, -0.022074, 0.682037, 0.728718, 3630.178955, 471.643280, 1252.684937, 0.057519, -0.022074, 0.682037, 0.728718, 101.000000,
12,1785437754183,3630.233887, 471.619202, 1252.757690, 0.053562, -0.024295, 0.681844, 0.729129, 3630.233887, 471.619202, 1252.757690, 0.053562, -0.024295, 0.681844, 0.729129, 101.000000,
13,1785437754190,3630.214111, 471.523254, 1252.696777, 0.053826, -0.020873, 0.681898, 0.729166, 3630.214111, 471.523254, 1252.696777, 0.053826, -0.020873, 0.681898, 0.729166, 101.000000,
14,1785437754197,3630.140381, 471.573700, 1252.680908, 0.051756, -0.026794, 0.682158, 0.728879, 3630.140381, 471.573700, 1252.680908, 0.051756, -0.026794, 0.682158, 0.728879, 101.000000,
15,1785437754203,3630.083496, 471.602295, 1252.840210, 0.052153, -0.018634, 0.682149, 0.729113, 3630.083496, 471.602295, 1252.840210, 0.052153, -0.018634, 0.682149, 0.729113, 101.000000,
16,1785437754210,3629.977539, 471.603027, 1252.858521, 0.047487, -0.023854, 0.682566, 0.728889, 3629.977539, 471.603027, 1252.858521, 0.047487, -0.023854, 0.682566, 0.728889, 101.000000,
17,1785437754217,3629.921631, 471.532898, 1252.953003, 0.048228, -0.017016, 0.681831, 0.729720, 3629.921631, 471.532898, 1252.953003, 0.048228, -0.017016, 0.681831, 0.729720, 101.000000,
18,1785437754223,3629.767822, 471.385986, 1253.113159, 0.048504, -0.025261, 0.682367, 0.728961, 3629.767822, 471.385986, 1253.113159, 0.048504, -0.025261, 0.682367, 0.728961, 101.000000,
19,1785437754230,3629.819824, 471.473175, 1253.103271, 0.041357, -0.018555, 0.682311, 0.729655, 3629.819824, 471.473175, 1253.103271, 0.041357, -0.018555, 0.682311, 0.729655, 101.000000,
20,1785437754236,3629.792969, 471.443298, 1253.054932, 0.045520, -0.024075, 0.682277, 0.729278, 3629.792969, 471.443298, 1253.054932, 0.045520, -0.024075, 0.682277, 0.729278, 101.000000,
21,1785437754243,3629.766602, 471.615204, 1253.172363, 0.042592, -0.011969, 0.682077, 0.729941, 3629.766602, 471.615204, 1253.172363, 0.042592, -0.011969, 0.682077, 0.729941, 101.000000,
22,1785437754250,3629.660889, 471.596313, 1253.035645, 0.045852, -0.015108, 0.681662, 0.730073, 3629.660889, 471.596313, 1253.035645, 0.045852, -0.015108, 0.681662, 0.730073, 101.000000,
23,1785437754256,3629.493164, 471.757233, 1253.081787, 0.043801, -0.017764, 0.681289, 0.730487, 3629.493164, 471.757233, 1253.081787, 0.043801, -0.017764, 0.681289, 0.730487, 101.000000,
24,1785437754263,3629.359619, 471.724792, 1253.094849, 0.044920, -0.017046, 0.682065, 0.729711, 3629.359619, 471.724792, 1253.094849, 0.044920, -0.017046, 0.682065, 0.729711, 101.000000,
