#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
9472,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785437754110,3728.315918, -936.191895, 1299.841675, 0.012303, 0.031409, 0.003211, 0.999426, 3728.315918, -936.191895, 1299.841675, 0.012303, 0.031409, 0.003211, 0.999426, 148.000000,
2,1785437754117,3728.324463, -936.147522, 1299.887939, 0.011227, 0.030730, 0.002649, 0.999461, 3728.324463, -936.147522, 1299.887939, 0.011227, 0.030730, 0.002649, 0.999461, 148.000000,
3,1785437754123,3728.329346, -936.119263, 1299.932861, 0.010063, 0.030427, 0.002702, 0.999483, 3728.329346, -936.119263, 1299.932861, 0.010063, 0.030427, 0.002702, 0.999483, 148.000000,
4,1785437754130,3728.316162, -936.190491, 1299.805054, 0.010598, 0.030572, 0.002079, 0.999474, 3728.316162, -936.190491, 1299.805054, 0.010598, 0.030572, 0.002079, 0.999474, 148.000000,
5,1785437754137,3728.312744, -936.149414, 1299.981445, 0.010550, 0.030718, 0.002616, 0.999469, 3728.312744, -936.149414, 1299.981445, 0.010550, 0.030718, 0.002616, 0.999469, 148.000000,
6,1785437754143,3728.360596, -936.141113, 1299.828491, 0.009969, 0.030343, 0.003078, 0.999485, 3728.360596, -936.141113, 1299.828491, 0.009969, 0.030343, 0.003078, 0.999485, 148.000000,
7,1785437754150,3728.369385, -936.070801, 1299.762451, 0.010525, 0.031236, 0.002771, 0.999453, 3728.369385, -936.070801, 1299.762451, 0.010525, 0.031236, 0.002771, 0.999453, 148.000000,
8,1785437754157,3728.343506, -935.991577, 1299.791138, 0.011030, 0.031317, 0.003032, 0.999444, 3728.343506, -935.991577, 1299.791138, 0.011030, 0.031317, 0.003032, 0.999444, 148.000000,
9,1785437754163,3728.267578, -936.069153, 1299.808838, 0.010960, 0.030142, 0.003075, 0.999481, 3728.267578, -936.069153, 1299.808838, 0.010960, 0.030142, 0.003075, 0.999481, 148.000000,
10,1785437754170,3728.295166, -936.081726, 1299.658813, 0.011053, 0.030102, 0.002562, 0.999482, 3728.295166, -936.081726, 1299.658813, 0.011053, 0.030102, 0.002562, 0.999482, 148.000000,
11,1785437754177,3728.266602, -936.001831, 1299.776733, 0.011439, 0.030452, 0.002957, 0.999466, 3728.266602, -936.001831, 1299.776733, 0.011439, 0.030452, 0.002957, 0.999466, 148.000000,
12,1785437754183,3728.339111, -935.923889, 1299.765869, 0.009974, 0.030280, 0.002732, 0.999488, 3728.339111, -935.923889, 1299.765869, 0.009974, 0.030280, 0.002732, 0.999488, 148.000000,
