#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
7387,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785438482235,3574.017090, 356.143616, 1324.182129, -0.701549, 0.704773, -0.104297, 0.015695, 3574.017090, 356.143616, 1324.182129, -0.701549, 0.704773, -0.104297, 0.015695, 101.000000,
2,1785438482242,3574.003906, 356.181610, 1323.978638, -0.700457, 0.705634, -0.105810, 0.015622, 3574.003906, 356.181610, 1323.978638, -0.700457, 0.705634, -0.105810, 0.015622, 101.000000,
3,1785438482248,3574.045654, 356.297607, 1324.080078, -0.700759, 0.705635, -0.103816, 0.015469, 3574.045654, 356.297607, 1324.080078, -0.700759, 0.705635, -0.103816, 0.015469, 101.000000,
4,1785438482255,3574.195312, 356.360504, 1324.051880, -0.700800, 0.705367, -0.105375, 0.015236, 3574.195312, 356.360504, 1324.051880, -0.700800, 0.705367, -0.105375, 0.015236, 101.000000,
5,1785438482262,3574.299316, 356.338867, 1323.765015, -0.700619, 0.705399, -0.106190, 0.016433, 3574.299316, 356.338867, 1323.765015, -0.700619, 0.705399, -0.106190, 0.016433, 101.000000,
6,1785438482268,3574.372803, 356.259705, 1323.798218, -0.700034, 0.705896, -0.106966, 0.014862, 3574.372803, 356.259705, 1323.798218, -0.700034, 0.705896, -0.106966, 0.014862, 101.000000,
7,1785438482275,3574.432617, 356.142578, 1323.751953, -0.700141, 0.705738, -0.107154, 0.015932, 3574.432617, 356.142578, 1323.751953, -0.700141, 0.705738, -0.107154, 0.015932, 101.000000,
8,1785438482282,3574.447266, 356.247314, 1323.755615, -0.699622, 0.706146, -0.107897, 0.015663, 3574.447266, 356.247314, 1323.755615, -0.699622, 0.706146, -0.107897, 0.015663, 101.000000,
9,1785438482288,3574.233154, 356.158844, 1324.259399, -0.698358, 0.707187, -0.107799, 0.023706, 3574.233154, 356.158844, 1324.259399, -0.698358, 0.707187, -0.107799, 0.023706, 101.000000,
10,1785438482295,3574.467041, 356.227417, 1323.869873, -0.700412, 0.705604, -0.106202, 0.016321, 3574.467041, 356.227417, 1323.869873, -0.700412, 0.705604, -0.106202, 0.016321, 101.000000,
11,1785438482302,3574.553467, 356.258179, 1323.834595, -0.700379, 0.705387, -0.107615, 0.017818, 3574.553467, 356.258179, 1323.834595, -0.700379, 0.705387, -0.107615, 0.017818, 101.000000,
12,1785438482308,3574.609863, 356.164764, 1323.635254, -0.700021, 0.705422, -0.109924, 0.016360, 3574.609863, 356.164764, 1323.635254, -0.700021, 0.705422, -0.109924, 0.016360, 101.000000,
13,1785438482315,3574.879639, 356.220215, 1323.535767, -0.700763, 0.704699, -0.109449, 0.018759, 3574.879639, 356.220215, 1323.535767, -0.700763, 0.704699, -0.109449, 0.018759, 101.000000,
14,1785438482322,3574.811279, 356.088104, 1323.533569, -0.700177, 0.704951, -0.111777, 0.017387, 3574.811279, 356.088104, 1323.533569, -0.700177, 0.704951, -0.111777, 0.017387, 101.000000,
15,1785438482328,3574.766357, 355.954407, 1323.548950, -0.700011, 0.705147, -0.111564, 0.017494, 3574.766357, 355.954407, 1323.548950, -0.700011, 0.705147, -0.111564, 0.017494, 101.000000,
16,1785438482335,3574.929688, 356.033752, 1323.447021, -0.701157, 0.704360, -0.108878, 0.020029, 3574.929688, 356.033752, 1323.447021, -0.701157, 0.704360, -0.108878, 0.020029, 101.000000,
17,1785438482342,3574.748047, 355.671906, 1323.822266, -0.698970, 0.705691, -0.112817, 0.026712, 3574.748047, 355.671906, 1323.822266, -0.698970, 0.705691, -0.112817, 0.026712, 101.000000,
18,1785438482348,3574.786133, 355.551178, 1323.822388, -0.699308, 0.705413, -0.112644, 0.025923, 3574.786133, 355.551178, 1323.822388, -0.699308, 0.705413, -0.112644, 0.025923, 101.000000,
19,1785438482355,3574.853516, 355.431427, 1323.889526, -0.699315, 0.705447, -0.112913, 0.023507, 3574.853516, 355.431427, 1323.889526, -0.699315, 0.705447, -0.112913, 0.023507, 101.000000,
20,1785438482362,3575.146484, 355.737427, 1323.547485, -0.702133, 0.703194, -0.110340, 0.018772, 3575.146484, 355.737427, 1323.547485, -0.702133, 0.703194, -0.110340, 0.018772, 101.000000,
21,1785438482368,3575.128174, 355.657654, 1323.693970, -0.701001, 0.704010, -0.112416, 0.018193, 3575.128174, 355.657654, 1323.693970, -0.701001, 0.704010, -0.112416, 0.018193, 101.000000,
22,1785438482375,3575.196289, 355.677582, 1323.571533, -0.701257, 0.703577, -0.113451, 0.018648, 3575.196289, 355.677582, 1323.571533, -0.701257, 0.703577, -0.113451, 0.018648, 101.000000,
23,1785438482382,3575.280273, 355.680115, 1323.529541, -0.701923, 0.703159, -0.112070, 0.017684, 3575.280273, 355.680115, 1323.529541, -0.701923, 0.703159, -0.112070, 0.017684, 101.000000,
24,1785438482388,3575.336914, 355.546539, 1323.660278, -0.702439, 0.702922, -0.110423, 0.016940, 3575.336914, 355.546539, 1323.660278, -0.702439, 0.702922, -0.110423, 0.016940, 101.000000,
25,1785438482395,3575.385010, 355.422180, 1323.683594, -0.702160, 0.703017, -0.111659, 0.016463, 3575.385010, 355.422180, 1323.683594, -0.702160, 0.703017, -0.111659, 0.016463, 101.000000,
26,1785438482402,3575.492920, 355.380615, 1323.851685, -0.702202, 0.702942, -0.111728, 0.017364, 3575.492920, 355.380615, 1323.851685, -0.702202, 0.702942, -0.111728, 0.017364, 101.000000,
27,1785438482408,3575.506836, 355.250366, 1323.900024, -0.701346, 0.703382, -0.114575, 0.015520, 3575.506836, 355.250366, 1323.900024, -0.701346, 0.703382, -0.114575, 0.015520, 101.000000,
28,1785438482415,3575.530518, 355.282166, 1323.943848, -0.701956, 0.703088, -0.112604, 0.015687, 3575.530518, 355.282166, 1323.943848, -0.701956, 0.703088, -0.112604, 0.015687, 101.000000,
29,1785438482422,3575.555420, 355.164032, 1324.033203, -0.701816, 0.702910, -0.114650, 0.015065, 3575.555420, 355.164032, 1324.033203, -0.701816, 0.702910, -0.114650, 0.015065, 101.000000,
30,1785438482428,3575.611816, 355.269012, 1324.052490, -0.702536, 0.702717, -0.111258, 0.015926, 3575.611816, 355.269012, 1324.052490, -0.702536, 0.702717, -0.111258, 0.015926, 101.000000,
31,1785438482435,3575.746826, 355.194824, 1324.031616, -0.702164, 0.702846, -0.112988, 0.014402, 3575.746826, 355.194824, 1324.031616, -0.702164, 0.702846, -0.112988, 0.014402, 101.000000,
32,1785438482442,3575.737061, 354.998291, 1324.422241, -0.702085, 0.702701, -0.114294, 0.014958, 3575.737061, 354.998291, 1324.422241, -0.702085, 0.702701, -0.114294, 0.014958, 101.000000,
33,1785438482448,3575.838867, 354.860291, 1324.431763, -0.701763, 0.703007, -0.114518, 0.014008, 3575.838867, 354.860291, 1324.431763, -0.701763, 0.703007, -0.114518, 0.014008, 101.000000,
34,1785438482455,3575.888916, 354.862061, 1324.245361, 0.702707, -0.702215, 0.113491, -0.014725, 3575.888916, 354.862061, 1324.245361, 0.702707, -0.702215, 0.113491, -0.014725, 101.000000,
35,1785438482462,3575.838379, 354.884766, 1324.546265, -0.702145, 0.702734, -0.113896, 0.013608, 3575.838379, 354.884766, 1324.546265, -0.702145, 0.702734, -0.113896, 0.013608, 101.000000,
