#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
7387,1,150,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,Global

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,
,Timestamp,XToParent1,YToParent1,ZToParent1,QxToParent1,QyToParent1,QzToParent1,QwToParent1,XToGlobal1,YToGlobal1,ZToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,Segmentlength1,
1,1785438482235,3721.665283, -940.564331, 1306.382202, 0.009806, 0.025235, 0.007522, 0.999605, 3721.665283, -940.564331, 1306.382202, 0.009806, 0.025235, 0.007522, 0.999605, 148.000000,
2,1785438482242,3721.577393, -940.468994, 1306.382202, 0.009582, 0.025989, 0.006978, 0.999592, 3721.577393, -940.468994, 1306.382202, 0.009582, 0.025989, 0.006978, 0.999592, 148.000000,
3,1785438482248,3721.508545, -940.473877, 1306.514893, 0.009268, 0.026292, 0.006502, 0.999590, 3721.508545, -940.473877, 1306.514893, 0.009268, 0.026292, 0.006502, 0.999590, 148.000000,
4,1785438482255,3721.713379, -940.493835, 1306.610840, 0.007418, 0.024738, 0.006054, 0.999648, 3721.713379, -940.493835, 1306.610840, 0.007418, 0.024738, 0.006054, 0.999648, 148.000000,
5,1785438482262,3722.059814, -940.552490, 1306.323364, 0.007420, 0.029803, 0.002745, 0.999524, 3722.059814, -940.552490, 1306.323364, 0.007420, 0.029803, 0.002745, 0.999524, 148.000000,
6,1785438482268,3721.709473, -940.402954, 1306.707153, 0.008175, 0.025065, 0.005703, 0.999636, 3721.709473, -940.402954, 1306.707153, 0.008175, 0.025065, 0.005703, 0.999636, 148.000000,
7,1785438482275,3721.572998, -940.478088, 1306.635498, 0.008881, 0.026269, 0.006939, 0.999591, 3721.572998, -940.478088, 1306.635498, 0.008881, 0.026269, 0.006939, 0.999591, 148.000000,
8,1785438482282,3721.502930, -940.497559, 1306.679688, 0.008645, 0.025602, 0.007158, 0.999609, 3721.502930, -940.497559, 1306.679688, 0.008645, 0.025602, 0.007158, 0.999609, 148.000000,
9,1785438482288,3721.385986, -940.487366, 1306.740601, 0.010029, 0.026983, 0.006595, 0.999564, 3721.385986, -940.487366, 1306.740601, 0.010029, 0.026983, 0.006595, 0.999564, 148.000000,
10,1785438482295,3721.384766, -940.412476, 1306.822266, 0.010012, 0.027135, 0.006639, 0.999560, 3721.384766, -940.412476, 1306.822266, 0.010012, 0.027135, 0.006639, 0.999560, 148.000000,
11,1785438482302,3721.492920, -940.387634, 1306.801025, 0.009402, 0.026442, 0.006454, 0.999585, 3721.492920, -940.387634, 1306.801025, 0.009402, 0.026442, 0.006454, 0.999585, 148.000000,
12,1785438482308,3721.928467, -940.408325, 1306.621826, 0.007819, 0.030310, 0.004671, 0.999499, 3721.928467, -940.408325, 1306.621826, 0.007819, 0.030310, 0.004671, 0.999499, 148.000000,
13,1785438482315,3721.985596, -940.411011, 1306.634644, 0.008407, 0.029822, 0.004195, 0.999511, 3721.985596, -940.411011, 1306.634644, 0.008407, 0.029822, 0.004195, 0.999511, 148.000000,
14,1785438482322,3721.868408, -940.294189, 1306.564453, 0.008408, 0.031545, 0.004647, 0.999456, 3721.868408, -940.294189, 1306.564453, 0.008408, 0.031545, 0.004647, 0.999456, 148.000000,
15,1785438482328,3721.816650, -940.344543, 1306.629150, 0.007996, 0.030852, 0.004008, 0.999484, 3721.816650, -940.344543, 1306.629150, 0.007996, 0.030852, 0.004008, 0.999484, 148.000000,
