timestamp,pos_des_x,pos_des_y,pos_des_z,pos_cur_x,pos_cur_y,pos_cur_z,quat_x,quat_y,quat_z,quat_w,vel_des_x,vel_des_y,vel_des_z,vel_cur_x,vel_cur_y,vel_cur_z,fb_acc_x,fb_acc_y,fb_acc_z,cmd_acc_x,cmd_acc_y,cmd_acc_z,a_meas_x,a_meas_y,a_meas_z,a_meas_filt_x,a_meas_filt_y,a_meas_filt_z,indi_dist_x,indi_dist_y,indi_dist_z,mbff_drag_x,mbff_drag_y,mbff_drag_z,nn_pred_x,nn_pred_y,nn_pred_z
0.0242,-5.3,-2.0480744854930726e-08,1.0,-5.3200788497924805,-0.01360356155782938,0.9981607794761658,0.0020608847446846115,-0.02915544729106831,0.0007260216124487271,-0.9995725295481315,3.4606560589626067e-14,-3.3794240233694e-06,0.0,-0.02340087853372097,0.026398111134767532,-0.021300651133060455,0.5796327912109787,0.018780585107195283,0.07353013637677577,0.579582484921775,0.018844603337468905,0.07348845484051457,0.024201376280717595,0.16408320125422,-0.1141875815782759,0.043906600809766896,0.04266858707561476,-0.02385920672810657,0.0,0.0,0.0,5.0306289203643254e-05,-6.401823027362098e-05,4.1681536261203855e-05,0.0,0.0,0.0
0.0333,-5.299999999999999,-7.333994897983058e-08,1.0,-5.3206787109375,-0.013175249099731445,0.9978600144386292,0.002556411828072273,-0.029198151268232955,0.0003042159525517104,-0.9995703379120089,3.222344868654502e-13,-8.787420535404752e-06,0.0,-0.0216852817684412,0.0252934992313385,-0.02259082905948162,0.5725453035130417,0.022994937673616267,0.08281782883421329,0.5725021030802597,0.023053710393645465,0.08277094508898893,0.171559676527977,-0.11046119034290314,-0.12901779264211655,0.08159212194735593,-0.0025381220556141317,-0.05490394333131612,0.0,0.0,0.0,4.320043278193843e-05,-5.87727200291976e-05,4.68837452243682e-05,0.0,0.0,0.0
0.05,-5.299999999999965,-3.6973917236713985e-07,1.0,-5.320960521697998,-0.012972627766430378,0.99769526720047,0.003055716322757723,-0.028827139146236636,-0.00023003749917236124,-0.9995797788060754,5.454664495297085e-12,-2.9505472522022493e-05,0.0,-0.01998952589929104,0.024190718308091164,-0.0236230306327343,0.5641288496854977,0.02771499522504703,0.08991152958202975,0.5640921414975814,0.02776875475800811,0.08986026361135595,0.10183722724148793,-0.06622660344062312,-0.061988018491738496,0.08756884706112372,-0.02134012582992128,-0.05699529179821627,0.0,0.0,0.0,3.670818791632484e-05,-5.375953296108218e-05,5.1265970673806136e-05,0.0,0.0,0.0
0.0666,-5.2999999999996605,-1.1645748718473214e-06,1.0,-5.321459770202637,-0.012615066953003407,0.9972985982894897,0.002693761821924196,-0.02854065648019596,-0.0008356455654254337,-0.9995886717911112,4.053830427221959e-11,-6.961906057256469e-05,0.0,-0.015843840315937996,0.021891992539167404,-0.028465790674090385,0.542108639774757,0.038334519593884606,0.1210414797347471,0.5420855787356724,0.03837854755167444,0.12096704006095176,0.24874493054760816,-0.1379256507138361,-0.2905700362282559,0.13515097281038407,-0.055758303673504,-0.12595082552821577,0.0,0.0,0.0,2.3061039084577763e-05,-4.4027957789838445e-05,7.443967379534392e-05,0.0,0.0,0.0
0.0833,-5.299999999997993,-2.8329892518314347e-06,1.0,-5.321681499481201,-0.012436817400157452,0.9970791339874268,0.002693761821924196,-0.02854065648019596,-0.0008356455654254337,-0.9995886717911112,1.9169904933607555e-10,-0.00013533341096296506,0.0,-0.014549835585057735,0.022882891818881035,-0.02779000997543335,0.5358147680143843,0.029583293520293985,0.11818151676567823,0.5357953200509156,0.02963139736329109,0.1181105695487575,0.07761038178158783,0.05943105892152377,0.040531225869416,0.1181639386376091,-0.02175229845602787,-0.0768022810714868,0.0,0.0,0.0,1.9447963468729913e-05,-4.810384299710508e-05,7.094721692073307e-05,0.0,0.0,0.0
0.1,-5.299999999991416,-5.859825230127664e-06,1.0,-5.322092056274414,-0.012040655128657818,0.9966650009155273,0.002314984143089744,-0.02875974765255673,-0.0013560748508379284,-0.9995828555260167,6.825016963174056e-10,-0.00023294267986200906,0.0,-0.013485475443303585,0.025328725576400757,-0.026722904294729233,0.531850553107765,0.010443439264224558,0.11396099445534447,0.5318338464150949,0.010502375804197179,0.11389539121801003,0.063701288509011,0.14638162001826457,0.0638656072972703,0.1020855688757937,0.027883907353815695,-0.0352745493605572,0.0,0.0,0.0,1.6706692670014593e-05,-5.893653997262156e-05,6.560323733443772e-05,0.0,0.0,0.0
0.1166,-5.299999999970847,-1.0798724801177747e-05,1.0,-5.322519302368164,-0.01161049772053957,0.9962765574455261,0.002792244518914982,-0.02882046545619274,-0.0018570744390868877,-0.9995790201628021,1.9852831634363213e-09,-0.00036768844469318464,0.0,-0.01651480607688427,0.027318578213453293,-0.025904571637511253,0.552537200878408,-0.006714772364440513,0.11111701090985548,0.5525121452721663,-0.006646211837900307,0.11105536407424788,-0.1822292376299749,0.11969948906418071,0.049226761384008604,0.018150641416977926,0.054989545238672374,-0.01032821795176342,0.0,0.0,0.0,2.5055606241685e-05,-6.856052654020603e-05,6.164683560761523e-05,0.0,0.0,0.0
0.1333,-5.299999999915837,-1.8348058856640445e-05,1.0,-5.32296895980835,-0.011134003289043903,0.9958595633506775,0.0031508220035115723,-0.027966586110430215,-0.0021374774222298948,-0.9996016530204526,5.009724458482906e-09,-0.0005460767809188701,0.0,-0.014516032300889492,0.027665898203849792,-0.029666069895029068,0.5431758819730012,-0.014881503438228624,0.13590900707001652,0.5431565242705344,-0.014811188514863243,0.13582815744876606,0.1199076726893701,0.020835940628754504,-0.22565460248727043,0.04819117691789421,0.0449067769135821,-0.0738965023055723,0.0,0.0,0.0,1.9357702466794912e-05,-7.031492336538158e-05,8.084962125047211e-05,0.0,0.0,0.0
0.15,-5.299999999785703,-2.9277748918185592e-05,1.0,-5.323166370391846,-0.010909179225564003,0.9956245422363281,0.002903862544661989,-0.027325474592662817,-0.002281619644137182,-0.9996197761653122,1.1326070233039868e-08,-0.000773698159887642,0.0,-0.01198573037981987,0.025949163362383842,-0.031522635370492935,0.5293675353204328,-0.010061030854802283,0.14836935603395773,0.5293543379633853,-0.009999171600725738,0.14827807028241866,0.1518160883007181,-0.1030027152533402,-0.11139244127828798,0.0787831447676835,0.0012411914026529934,-0.08496598882424652,0.0,0.0,0.0,1.319735704750677e-05,-6.18592540765459e-05,9.128575153907e-05,0.0,0.0,0.0
0.1666,-5.299999999506329,-4.443740843350212e-05,1.0,-5.323484897613525,-0.010482891462743282,0.9951191544532776,0.002252218266033912,-0.02725809363569504,-0.00252333182034718,-0.9996227685915564,2.3458679439360743e-08,-0.0010558077196907104,0.0,-0.007943348959088326,0.026044152677059174,-0.030605867505073547,0.5070977601986977,-0.0178012996954941,0.14555835685203988,0.5070919637066763,-0.01773898672945532,0.14547230358835542,0.24258128827224082,0.00570026128852262,0.055014781311700574,0.12713935055911407,0.002557590333837969,-0.04364110697448082,0.0,0.0,0.0,5.7964920214067165e-06,-6.231296603878031e-05,8.605326368447501e-05,0.0,0.0,0.0
0.1833,-5.299999998949758,-6.481484833638144e-05,1.0,-5.323624610900879,-0.010259912349283695,0.9948992729187012,0.0016536210646128592,-0.02750873699252228,-0.002642860282724024,-0.9996167837390679,4.531842503123555e-08,-0.001398396391278758,0.0,-0.007460871711373329,0.02708560973405838,-0.027479330077767372,0.5052961689587748,-0.030923401456659477,0.12806860538265596,0.5052910552369065,-0.03085600529059752,0.12799923561496673,0.028941624238437116,0.06247229055232974,0.18754681555876548,0.09814958693532111,0.020245504932312336,0.024609793306326875,0.0,0.0,0.0,5.11372186824937e-06,-6.73961660619573e-05,6.936976768923622e-05,0.0,0.0,0.0
0.2,-5.299999997911327,-9.14040012664147e-05,1.0,-5.3238983154296875,-0.0097836684435606,0.994545042514801,0.0016536210646128592,-0.02750873699252228,-0.002642860282724024,-0.9996167837390679,8.253401194925809e-08,-0.001805916824636668,0.0,-0.00819141324609518,0.02781120128929615,-0.02262714132666588,0.511447429814996,-0.04415566162245299,0.100908373402267,0.5114412656304738,-0.0440846061624638,0.10086133881500552,-0.0438526080352926,0.04355547296523693,0.2912649333433515,0.05622794352766676,0.027127033544756034,0.10333126444811883,0.0,0.0,0.0,6.164184522288156e-06,-7.105545998919097e-05,4.703458726147355e-05,0.0,0.0,0.0
0.2166,-5.299999996068518,-0.00012540305146321014,1.0,-5.324045658111572,-0.009544729255139828,0.9944005608558655,0.001235375496325987,-0.027378912845307583,-0.0026966396614239306,-0.999620829836525,1.4324468286067438e-07,-0.0022845485960302425,0.0,-0.008822272531688213,0.02805566042661667,-0.021609269082546234,0.5163722302636833,-0.05409524499807185,0.09571023874602702,0.5163650800520276,-0.05402293489987454,0.09566734064048246,-0.037842931665737045,0.01466420585374923,0.061058417714277544,0.028456501785375867,0.023447779020404867,0.09085154744818616,0.0,0.0,0.0,7.150211655667876e-06,-7.231009819731031e-05,4.289810554456284e-05,0.0,0.0,0.0
0.2333,-5.299999992946352,-0.00016797198973463317,1.0,-5.324335098266602,-0.009069929830729961,0.9940961003303528,0.000739686410989361,-0.02676613454645163,-0.00270831433846145,-0.9996378150164749,2.3839494976978085e-07,-0.0028385083644675148,0.0,-0.007816918194293976,0.02625350095331669,-0.024836458265781403,0.5121957211722334,-0.05373513677266786,0.11679236314822561,0.5121901077321362,-0.053671818011444036,0.11673569522620154,0.0603549898197979,-0.10819003073741161,-0.19373962299258582,0.03787351847937205,-0.015414108436854729,0.00683503230450154,0.0,0.0,0.0,5.61344009717064e-06,-6.33187612238262e-05,5.6667922024061875e-05,0.0,0.0,0.0
0.25,-5.299999987849083,-0.00022046239429588936,1.0,-5.324575901031494,-0.00861907098442316,0.9936904311180115,0.000130049369436487,-0.02647354190446589,-0.0028315517235073208,-0.9996454857429039,3.828756565528267e-07,-0.0034733874269079414,0.0,-0.004638149403035641,0.02605420909821987,-0.029795248061418533,0.49474118289884783,-0.06371139481707251,0.14878380886682863,0.4947392066236224,-0.0636490337199679,0.1487022536081551,0.19068811991375734,-0.011955128434331155,-0.297468097012257,0.08298718189943993,-0.014392954318427133,-0.08300081338570361,0.0,0.0,0.0,1.9762752254242973e-06,-6.236109710460837e-05,8.155525867354257e-05,0.0,0.0,0.0
